title,url,create_time,author,content
[問卦] 說要退出蝦皮的店家都去哪？,https://www.ptt.cc/bbs/Gossiping/M.1776584021.A.F41.html,2026-04-19 15:33:39,wu73 (っていう),"前陣子看到商家抱怨蝦皮抽成過多的文章，說考慮要退出蝦皮
但除了蝦皮之外，還有哪些電商比較多貨源和使用者？
那些說要退出蝦皮的商家，最後都去哪？"
[問卦] 鄉民蝦皮最慢幾天拿到貨？,https://www.ptt.cc/bbs/Gossiping/M.1776523017.A.4BF.html,2026-04-18 22:36:55,Daniel0712 (阿呆),"如題

有時會上蝦皮買東西

通常大概4-5天到貨

那大家買蝦皮的東西

最慢幾天拿到貨

有沒有卦

卦

Sent from JPTT on my iPhone"
[問卦] 蝦皮物流這麼慢 還是中資 生意這麼好？,https://www.ptt.cc/bbs/Gossiping/M.1776439805.A.5F2.html,2026-04-17 23:30:03,kingmusk (馬爹利),"如題

你們有沒有覺得

最近蝦皮物流真的慢到靠北

一個東西可以卡好幾天在智取店裡（賣家寄了 但東西停在店裡）

選全家或小七的速度就有夠快

幾乎隔天就能拿到了

然後蝦皮都還把店面換成智取店

連店員都不用請了

直接請工讀生分時段跑好幾家店理貨

油錢耗材自理

保險？？？ 不知道出事算誰的

結果台灣人還是用很爽 店越開越多

怎麼會這樣啊 有八卦？"
[問卦] 為啥蝦皮店到店現在好像沒店員了？,https://www.ptt.cc/bbs/Gossiping/M.1776433092.A.D8B.html,2026-04-17 21:38:10,Lucky0105 (洋),"家裡附近幾間都變成智取店 沒店員那種

雖然好像也行啦，雖然好像也行？

但好奇為什麼變這樣

Sent from JPTT on my iPhone"
[新聞] 白沙屯媽香燈腳狂掃貨竟轉寄蝦皮！北港人,https://www.ptt.cc/bbs/Gossiping/M.1776416260.A.CA8.html,2026-04-17 16:57:37,LDMisshit (LDMisshit),"備註請放最後面 違者新聞文章刪除

1.媒體來源:NOWnews

2.記者署名:徐銘穗

3.完整新聞標題:
白沙屯媽香燈腳狂掃貨竟轉寄蝦皮！北港人氣炸：臂章不是無敵星星

4.完整新聞內文:
苗栗白沙屯拱天宮媽祖進香活動今年報名人數衝破 46 萬人，創下歷史新高。這場原本象
徵虔誠與溫暖的宗教盛事，卻因人潮翻倍爆出令人瞠目結舌的脫序亂象。近日 Threads
出現大量北港在地人的崩潰發文，直指部分
信徒將「粉紅臂章」當成「無敵星星」到處情

勒、騙吃喝，甚至出現「物資狂掃貨後竟轉身寄蝦皮店到店」
的離譜行徑，讓在地人氣炸
點名 3 類老鼠屎「別再來了」，感嘆神聖信仰已然變質。對此，網紅 Cheap 也忍不住發
文痛批，台灣人「CP 值至上」的民族性讓信仰走鐘，簡直演變成「台版零元購」。

 「掛臂章吃免錢？」 北港人怒批：付錢是常識

一名北港在地網友發文表示，近期進香期間，不少信眾以為掛上「粉紅臂章」就能開啟免
死金牌，到店家消費竟然理所當然地拒絕付錢，甚至反問老闆：「白沙屯香燈腳不是都吃
免費的嗎？」更誇張的是，還有香燈腳在北港大量收刮、橫掃結緣物資後，直接轉身走進
「蝦皮店到店」把戰利品寄回家，讓在地人感嘆：「以前是來結緣的，今年簡直是來結仇
的。」

 網紅 Cheap 痛批「台版零元購」：粉紅臂章淪吃到飽門票

針對這股亂象，網紅 Cheap 昨（16）日也在社群平台發文狠酸，直指這是 「台版零元購
」。Cheap 指出，原本的進香是信徒用生命在走路，鄉親出於對媽祖的愛自發性送物資叫
「結緣」，但如今卻演變成台灣人「CP 值至上」的民族性，「看別人在拿，自己沒拿就
虧大了」。

Cheap 痛批，現在很多人參加不是為了信仰，而是為了「吃回本」，搞得粉紅臂章像是
「Buffet 通行證」，只要臂章一掛「就像穿了黃馬褂」，彷彿全台灣店家都欠他一頓飯
。他更感嘆，外國人以為台灣是高科技代表，但若看到這種瘋搶物資的景象，恐怕
會以為

到了東南亞
。

 情緒勒索沒極限　居民心寒：趕緊拉下鐵捲門

亂象不只一樁，有店家分享心痛經歷。一名餐飲業者透露，父親剛過世未滿一年，店內無
法發放結緣品，卻被一名身為銀行主管的客人冷嘲熱諷：「大家都發免費的，你怎麼要收
錢？」除此之外，更有香燈腳強行借用私人淋浴間遭拒，竟嗆聲屋主：「媽祖會希望你這
樣情勒別人嗎？」

種種跋扈行為讓北港居民心寒不已，直言現在
看到進香隊伍快到了，「趕緊拉下鐵捲門、

室內電燈全關」
，就怕老鼠屎找上門。在地人憤怒點名：「惹事生非者、無故口角者、貪
婪搶結緣品者」這 3 類人，請尊重當地居民生活，不要打著媽祖旗號招搖撞騙。

 「自律者」道歉自省：來北港是要帶錢吃美食而非搶食

面對排山倒海的負評，許多自律的香燈腳深感遺憾並發聲致歉。有信徒留言：「我是香燈
腳，跟你說聲抱歉，人太多什麼人都有，辛苦北港人了。」更有不少在地老香客強調，來
北港就是要帶錢來促進經濟、吃美食：「來北港當然要帶錢來吃油飯、蟳羹！買東西付錢
是常識。」

也有許多自律信徒分享隨香準則：「自備餐具與垃圾袋、不餓不渴就不拿福食、不搶快、
守秩序」，強調進香是為了求平安與結緣，不該把善意當成理所當然，更不該讓粉紅臂章
淪為情勒與貪小便宜的「無敵星星」。

6.備註:
東南亞人有這麼賤格? 不要拖別國下水好嗎...."
[問卦] 蝦皮的VIP到底好不好用?,https://www.ptt.cc/bbs/Gossiping/M.1776407911.A.32B.html,2026-04-17 14:38:29,cehuwa (你可能認識的朋友),"開app看到明天訂蝦皮vip有多送蝦幣
加上原本給的蝦幣和限定的優惠券
看起來好像可以省一些

這樣看起來484可以訂看看？
還是其實有什麼隱形限制我沒注意到的嗎？
想問有沒有人正在訂閱？有掛嗎？"
[問卦] 蝦皮哪時侯要導入機器人理貨？,https://www.ptt.cc/bbs/Gossiping/M.1776381585.A.237.html,2026-04-17 07:19:43,Goo4u (Goo4u),"蝦皮速度會慢就是理貨，東西都已經來了，就差在理貨

可能是缺工，可能是量太大，但是這東西其實不難程式寫一下，一個櫃位一個包裹讓機器
人去走位分配就好

是說蝦皮哪時侯要導入機器人理貨啊？"
[問卦] 狂耶 香燈腳用蝦皮寄福食,https://www.ptt.cc/bbs/Gossiping/M.1776345295.A.734.html,2026-04-16 21:14:53,laverne1 (只收菁英不收雜碎),"香燈腳進化了
不只是煌蟲過境製造髒亂
還會福食蝦皮寄回家

香燈腳還能再多狂？"
Re: [問卦] 淘寶屌虐蝦皮...所有台灣網購吧?,https://www.ptt.cc/bbs/Gossiping/M.1776239173.A.E82.html,2026-04-15 15:46:09,ptgeorge2 (左輪小手槍),"...

羊毛出在羊身上

你就繼續現在繼續薅羊毛

慢慢讓他吃光市佔率

然後回頭再來靠北xx屌虐淘寶

常跟中國來玩都知道淘寶什麼屌樣

服務品質比不上天貓京東

價格優惠比不過拼多多

也就是台灣因為沒有產量過剩跟內卷問題，加上勞力價格控制一定成本，價格怎樣都壓不下來

價格便宜不外乎就兩個可變成本

人力跟品質，喜歡就繼續買吧，笑死==

現在市面上所謂的“淘寶貨“放在中國都還是有一定品質的

等到那些義烏或者河北商家的垃圾也進來之後你們才會知道什麼叫作

「真正的淘寶貨」

Sent from JPTT on my Asus ASUS_AI2302."
[問卦] 淘寶屌虐蝦皮...所有台灣網購吧?,https://www.ptt.cc/bbs/Gossiping/M.1776160884.A.7F5.html,2026-04-14 18:01:22,IslamicState (伊斯蘭國-不亂砍頭),"我反中共拉 但是這掏寶捲到太誇張了吧
家具部分破損我申請退貨 半夜還有人回覆
本來以為要大吵 結果客服好生好氣
""親別擔心 給你問問""
""親您先別生氣 是我們疏失""
最後退款完成 還是比台灣便宜

先不說廢到爆的蝦皮 摸摸  批西鬨
放眼全世界網購平台 沒有客服這麼捲的
往往大半夜還有人

這個是不是真的只有中國做得出來?"
